article;type;approach;sub_type;year;temporal_range;spatial_range;taxonomic_coverage;n_species;n_samples;data ;ecological_level;metric_method;category;sub_category;conclusion;simple_conclusion;causes;additional_comments
Dornelas, M. et al. Assemblage Time Series Reveal Biodiversity Change but Not Systematic Loss. Science (New York, N.Y.) 344, 296–9 (2014).;Biodiversity analysis;top-down;trend;2014;1874-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;35613;100;Biotime;SR;Turnover, GLMM;indicators;turnover;Both increase and decrease, turnover;mixed trends;No;Turnover using Jaccard
Jutro, P. R. Biological diversity, ecology, and global climate change. Environ Health Perspect 96, 167–170 (1991).;Review biodiversity;bottom-up;trend;1991;/;/;/;/;/;/;/;/;/;/;Decrease and turnover;decreasing trends;No;/
Hillebrand, H. et al. Biodiversity change is uncoupled from species richness trends: Consequences for conservation and monitoring. Journal of Applied Ecology 55, 169–184 (2018).;Biodiversity analysis;top-down;trend;2018;2000-2015;Africa, America, Asia, Europe, Oceania;plants;unknown;unknown;Aggregation;SR;Turnover, GLM ;indicators;turnover;No change in SR, turnover;mixed trends;No;Turnover using SER (species-exchange ratio)
Daskalova, G. N. et al. Landscape-scale forest loss as a catalyst of population and biodiversity change. Science 368, 1341–1347 (2020).;Biodiversity analysis;top-down;trend;2020;1874-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;730;6090;Biotime, LPD;Abundance, SR;Turnover, SSM, GLMM;indicators;turnover;Both increase and decrease, turnover;mixed trends;Forest loss;/
Daskalova, G. N. et al. Landscape-scale forest loss as a catalyst of population and biodiversity change. Science 368, 1341–1347 (2020).;Biodiversity analysis;top-down;drivers;2020;1874-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;730;6090;Biotime, LPD;Abundance, SR;Turnover, SSM, GLMM;anthropogenic;anthropogenic;Both increase and decrease, turnover;it depends;Forest loss;/
Chase, J. M. et al. Species richness change across spatial scales. Oikos 128, 1079–1091 (2019).;Method analysis;/;/;2019;1982-2011;America, Europe;birds, invertebrates, plants;unknown;unknown;Aggregation;SR;LRS (log ratio of species richness) versus log spatial scale (linear model);;;Scale-dependance of SR;irrelevant;No;/
Waldron, A. et al. Reductions in global biodiversity loss predicted from conservation spending. Nature 551, 364–367 (2017).;Biodiversity analysis;top-down;drivers;2017;1996-2008;Africa, America, Asia, Europe, Oceania;mammals, birds;unknown;unknown;Other;Index;BDS, GAM, GLM;conservation;conservation;Conservation spending reduce BDS;no/positive effect of drivers;Conservation spending, GDP growth, agricultural expansion;Metric =  RL category, BDS = biodiv decline score (sort of RLI)
Manes, S. et al. Endemism increases species’ climate change risk in areas of global biodiversity importance. Biological Conservation 257, 109070 (2021).;Biodiversity analysis;bottom-up;drivers;2021;unknown;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;unknown;unknown;Aggregation;Abundance, SR;percent magnitude of change between current and future time periods, GLMM;CC;CC;Endemic species more negatively affected by CC;negative effect of drivers;CC;/
Vellend, M. et al. Global meta-analysis reveals no net change in local-scale plant biodiversity over time. PNAS 110, 19456–19459 (2013).;Biodiversity analysis;top-down;trend;2013;unknown;Africa, America, Asia, Europe, Oceania;plants;unknown;16000;Aggregation;SR;Linear regression, GLM;population model;statistical model;Both increase and decrease;mixed trends;CC, invasions, fire, storms, logging;/
Vellend, M. et al. Global meta-analysis reveals no net change in local-scale plant biodiversity over time. PNAS 110, 19456–19459 (2013).;Biodiversity analysis;top-down;drivers;2013;unknown;Africa, America, Asia, Europe, Oceania;plants;unknown;16000;Aggregation;SR;Linear regression, GLM;CC;CC;Both increase and decrease;it depends;CC, invasions, fire, storms, logging;/
Blowes, S. A. et al. The geography of biodiversity change in marine and terrestrial assemblages. Science 366, 339–345 (2019).;Biodiversity analysis;top-down;trend;2019;1874-2015;Africa, America, Asia, Europe, Oceania;mammals, birds, amphibians, reptiles, fishes, insects, invertebrates, plants;44440;51932;Biotime;SR;Turnover, Hierarchical GLM;indicators;turnover;SR change in marine > SR change in terrestrial, turnover (~28 % per decade), higher variations in rates of turnover in marine ;it depends;No;/
Record, S. et al. Novel Insights to Be Gained From Applying Metacommunity Theory to Long-Term, Spatially Replicated Biodiversity Data. Frontiers in Ecology and Evolution 8, 479 (2021).;Review methods;/;/;2021;/;/;birds, invertebrates, plants;/;/;LTER;/;/;/;/;Challenges synthetizing long-term ecological data : scale mismatch among datasets (temporal and/or spatial), rare species (observation error + stochastic dynamics), economies of scale (temporal or spatial), different metrics;irrelevant;No;/
Saha, A. et al. Tracking Global Population Trends: Population Time-Series Data and a Living Planet Index for Reptiles. hpet 52, 259–268 (2018).;Biodiversity analysis;top-down;trend;2018;1970-2012;Africa, America, Asia, Europe, Oceania;reptiles;194;549;LPD;Abundance;LPI, CI;indicators;index;Decrease (54-55%), freshwater and marine most dramatic;decreasing trends;No;Metric = LPI, Caveats : america/europe +++, tropics underrepresented, threatened species overrepresented
Wilson, R. J. & Fox, R. Insect responses to global change offer signposts for biodiversity and conservation. Ecological Entomology 46, 699–717 (2021).;Review biodiversity;bottom-up;trend;2021;/;/;insects;/;/;/;/;/;/;/;Abundance/biomass decline for terrestrial (-8,8 % per decade), increase FW (+11,3% per d);it depends;No;
Lepetz, V., Massot, M., Schmeller, D. S. & Clobert, J. Biodiversity monitoring: some proposals to adequately study species’ responses to climate change. Biodivers Conserv 18, 3185 (2009).;Review methods;/;/;2009;/;/;/;/;/;/;/;/;/;/;Correlative approaches/modelling approaches/experimental approaches/meta-analysis;irrelevant;No;See « mess » for details
Dobson, A. Monitoring global rates of biodiversity change: challenges that arise in meeting the Convention on Biological Diversity (CBD) 2010 goals. Philos Trans R Soc Lond B Biol Sci 360, 229–241 (2005).;Review methods;/;/;2005;/;/;/;/;/;/;/;/;/;/;unbiased (taxo/geo) measures needed, homogenized data collection, regularly sampled (at least 3 times);irrelevant;No;/
Bailey, S. A. et al. Trends in the detection of aquatic non-indigenous species across global marine, estuarine and freshwater ecosystems: A 50-year perspective. Diversity and Distributions 26, 1780–1797 (2020).;Biodiversity analysis;top-down;trend;2020;1965-2010;Africa, America, Asia, Europe, Oceania;fishes, invertebrates, plants;1442;2209;Aggregation;SR, others;ten-year mean detection rate of ANS, GLM;indicators;index;"Peak of introduction in 60s, decrease last 5yrs ; most ANS were likely introduced as stowaways in ships’ ballast water or biofouling (40% of primary detection events)";increasing trends;No;Metric = Population statuts (IUCN-like), pathways of introduction (CBD), rate of detection, SR. Relevance ? Trends in detection
Pereira, H. M., Navarro, L. M. & Martins, I. S. Global Biodiversity Change: The Bad, the Good, and the Unknown. Annual Review of Environment and Resources 37, 25–50 (2012).;Review biodiversity;bottom-up;trend;2012;/;/;/;/;/;/;/;/;/;/;"Alterations and losses : humans shaping ES (35-40% forests/natural ice-free habitats converted to cropland/pasture) ; historical perspective (rôle of humans) ; recent trends (declines in abundance, shifts, loss of genetic diversity) ; pressures (habitat loss, overexploitation, pollution, invasive species, CC) ";decreasing trends;CC, human activities;See « mess » for details
Pereira, H. M., Navarro, L. M. & Martins, I. S. Global Biodiversity Change: The Bad, the Good, and the Unknown. Annual Review of Environment and Resources 37, 25–50 (2012).;Review biodiversity;bottom-up;drivers;2012;/;/;/;/;/;/;/;/;/;/;"Alterations and losses : humans shaping ES (35-40% forests/natural ice-free habitats converted to cropland/pasture) ; historical perspective (rôle of humans) ; recent trends (declines in abundance, shifts, loss of genetic diversity) ; pressures (habitat loss, overexploitation, pollution, invasive species, CC) ";negative effect of drivers;CC, human activities;See « mess » for details
